Domain Code,AreaName,ItemName,Year,Value,Flag,FlagD
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2007,14,,Official data
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2008,14,,Official data
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2009,20,,Official data
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2010,17,,Official data
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2011,17,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2000,71,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2001,58,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2002,18,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2003,18,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2004,24,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2005,23,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2006,33,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2007,42,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2008,38,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2009,35,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2010,38,,Official data
FS,Canada,Per capita food supply variability (kcal/capita/day),2011,34,,Official data
FS,Cabo Verde,Per capita food supply variability (kcal/capita/day),2000,15,,Official data
FS,Cabo Verde,Per capita food supply variability (kcal/capita/day),2001,22,,Official data
FS,Cabo Verde,Per capita food supply variability (kcal/capita/day),2002,21,,Official data
FS,Cabo Verde,Per capita food supply variability (kcal/capita/day),2003,24,,Official data
FS,Cabo Verde,Per capita food supply variability (kcal/capita/day),2004,26,,Official data
FS,Cabo Verde,Per capita food supply variability (kcal/capita/day),2005,49,,Official data
FS,Cabo Verde,Per capita food supply variability (kcal/capita/day),2006,60,,Official data
